Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGamePPR,FantasyPointsPPR
1,CJ Mosley,BAL,ILB,16,97,36,11.5,1,0,4,7,2,3,2,1,10.4,166.5
2,Bobby Wagner,SEA,ILB,16,96,36,14,1.5,0,12,6,2,0,1,1,10.4,166
3,Chandler Jones,ARI,DE,16,52,7,28.5,17,0,34,3,0,2,0,0,10.1,161
4,Demario Davis,NYJ,OLB,16,97,36,14,5,0,15,3,0,0,1,0,10,160
5,Blake Martinez,GB,ILB,16,96,49,11.5,1,0,2,8,1,1,2,0,9.8,156
6,Calais Campbell,JAX,DE,16,47,20,18.5,14.5,0,30,3,0,2,1,1,9.5,152.5
6,Wesley Woodyard,TEN,ILB,16,84,40,12.5,5,0,9,5,0,0,2,1,9.5,152.5
8,Cameron Jordan,NO,DE,16,48,14,17,13,0,29,11,1,1,0,1,9.4,150
9,Reshad Jones,MIA,SS,16,93,28,5.5,1.5,0,2,5,2,0,3,2,9.3,149.5
10,Christian Kirksey,CLE,OLB,16,87,52,9,3.5,0,6,5,0,2,1,0,9.3,149
10,Deion Jones,ATL,ILB,16,91,47,11.5,1,0,0,9,3,1,0,0,9.3,149
12,Luke Kuechly,CAR,ILB,15,74,51,10,1.5,0,5,5,3,1,2,1,9.8,146.5
13,Joe Schobert,CLE,ILB,16,86,57,6,3,0,6,3,1,2,0,0,9,144.5
14,Telvin Smith,JAX,OLB,14,76,26,11.5,1,0,2,5,3,1,2,2,10,139.5
15,Joey Bosa,LAC,DE,16,54,16,14.5,12.5,0,23,1,0,3,1,0,8.6,137.5
16,Demarcus Lawrence,DAL,DE,16,36,23,17.5,14.5,0,27,1,0,3,2,0,8.6,137
17,Khalil Mack,OAK,OLB,16,61,17,15,10.5,0,22,3,0,1,1,0,8.5,136.5
18,Zach Brown,WAS,ILB,13,84,43,13.5,2.5,0,5,2,0,1,0,0,10.3,134
18,Jadeveon Clowney,HOU,OLB,16,41,18,23,9.5,0,22,2,0,2,2,1,8.4,134
20,Lavonte David,TB,OLB,13,75,25,8,0,0,3,1,0,4,5,1,10.2,132.5
21,NaVorro Bowman,OAK,ILB,15,81,47,7.5,1.5,0,6,3,1,0,1,0,8.7,130
22,Keanu Neal,ATL,SS,16,83,33,4.5,0,0,0,6,1,3,2,0,8,128
22,Yannick Ngakoue,JAX,DE,16,24,6,16,12,0,28,0,0,7,2,1,8,128
24,Von Miller,DEN,OLB,16,51,6,18,10,0,23,3,0,2,1,0,7.9,127
25,Tahir Whitehead,DET,OLB,16,78,32,9.5,1,0,4,2,1,0,4,0,7.9,126.5
25,Kevin Byard,TEN,FS,16,62,25,3,0,0,3,16,8,0,2,0,7.9,126.5
27,Jordan Poyer,BUF,FS,15,63,32,4,2,0,2,13,5,0,1,1,8.4,126
27,Preston Brown,BUF,ILB,16,83,61,7.5,0,0,2,3,0,0,0,0,7.9,126
29,Eric Kendricks,MIN,ILB,16,67,47,9,1,0,6,6,1,1,0,1,7.8,125.5
30,Melvin Ingram,LAC,DE,16,43,13,18,10.5,0,23,1,0,0,2,1,7.8,124.5
31,Brandon Marshall,DEN,ILB,16,76,31,6,3,0,4,4,0,1,1,1,7.7,123.5
31,Vince Williams,PIT,ILB,16,69,20,10.5,8,0,14,1,1,0,0,0,7.7,123.5
33,Aaron Donald,LAR,DT,14,32,9,18,11,0,27,1,0,5,1,0,8.8,122.5
34,Justin Houston,KC,OLB,15,46,13,15,9.5,0,20,4,0,0,1,1,8,119.5
35,Matt Judon,BAL,OLB,16,50,10,18,8,0,18,3,0,2,1,0,7.4,119
36,Ryan Kerrigan,WAS,OLB,16,34,12,17,13,0,18,2,1,2,0,1,7.4,118
37,Landon Collins,NYG,SS,15,78,26,3.5,0,0,2,6,2,1,2,0,7.8,117.5
38,Kiko Alonso,MIA,OLB,16,78,37,6.5,1,0,5,1,0,2,0,0,7.3,117
38,Alec Ogletree,LAR,ILB,15,63,32,4,2,0,5,10,1,1,1,1,7.8,117
40,Glover Quin,DET,FS,16,60,24,5,0,0,0,6,3,4,1,1,7.1,113
40,Darron Lee,NYJ,ILB,15,67,28,10,3,0,7,3,0,2,0,0,7.5,113
40,Sean Davis,PIT,FS,16,71,21,7.5,1,0,2,8,3,1,0,0,7.1,113
