Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Travis Kelce,KC,TE,15,122,83,68,1038,8,44,8.5,12.5,2,7,3.5,0,0,0,15.6,233.5
2,Rob Gronkowski,NE,TE,14,105,69,65.7,1084,8,53,10.3,15.7,0,0,0,0,1,0,16.2,227.4
3,Zach Ertz,PHI,TE,14,110,74,67.3,824,8,53,7.5,11.1,0,0,0,0,1,1,14.5,202.4
4,Delanie Walker,TEN,TE,16,111,74,66.7,807,3,42,7.3,10.9,2,-2,-1,1,2,2,10.9,174.5
5,Evan Engram,NYG,TE,15,115,64,55.7,722,6,35,6.3,11.3,1,14,14,0,0,0,11.6,173.6
6,Jimmy Graham,SEA,TE,16,95,57,60,520,10,33,5.5,9.1,0,0,0,0,0,0,10.7,171
7,Jack Doyle,IND,TE,15,108,80,74.1,690,4,26,6.4,8.6,0,0,0,0,2,2,11.3,169
8,Kyle Rudolph,MIN,TE,16,81,57,70.4,532,8,34,6.6,9.3,0,0,0,0,0,0,9.9,158.2
9,Jason Witten,DAL,TE,16,87,63,72.4,560,5,28,6.4,8.9,0,0,0,0,1,1,9.2,147
10,Cameron Brate,TB,TE,16,77,48,62.3,591,6,35,7.7,12.3,0,0,0,0,1,0,8.9,143.1
11,Benjamin Watson,BAL,TE,16,79,61,77.2,522,4,33,6.6,8.6,0,0,0,0,1,0,8.6,137.2
12,Jared Cook,OAK,TE,16,86,54,62.8,688,2,35,8,12.7,0,0,0,0,1,1,8.3,132.8
13,Eric Ebron,DET,TE,16,86,53,61.6,574,4,44,6.7,10.8,0,0,0,0,1,1,8.3,132.4
14,Hunter Henry,LAC,TE,14,62,45,72.6,579,4,34,9.3,12.9,0,0,0,0,0,0,9.1,126.9
15,Tyler Kroft,CIN,TE,16,62,42,67.7,404,7,59,6.5,9.6,0,0,0,0,0,0,7.8,124.4
16,Vernon Davis,WAS,TE,16,68,43,63.2,648,3,69,9.5,15.1,0,0,0,0,2,2,7.6,121.8
