Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Antonio Brown,PIT,WR,14,163,101,62,1533,9,57,9.4,15.2,0,0,0,0,4,0,22.2,310.3
2,DeAndre Hopkins,HOU,WR,15,174,96,55.2,1378,13,72,7.9,14.4,0,0,0,0,1,1,20.7,309.8
3,Keenan Allen,LAC,WR,16,159,102,64.2,1393,6,51,8.8,13.7,2,9,4.5,1,1,0,17.8,284.2
4,Larry Fitzgerald,ARI,WR,16,161,109,67.7,1156,6,37,7.2,10.6,0,0,0,0,1,1,16.3,261.44
5,Jarvis Landry,MIA,WR,16,161,112,69.6,987,9,49,6.1,8.8,1,-7,-7,0,4,2,16.2,260
6,Michael Thomas,NO,WR,16,149,104,69.8,1245,5,43,8.4,12,0,0,0,0,0,0,16.2,258.5
7,Julio Jones,ATL,WR,16,148,88,59.5,1444,3,53,9.8,16.4,1,15,15,0,0,0,15.7,251.9
8,Adam Thielen,MIN,WR,16,143,91,63.6,1276,4,65,8.9,14,1,11,11,0,3,2,15,239.7
9,Tyreek Hill,KC,WR,15,105,75,71.4,1183,7,79,11.3,15.8,17,59,3.5,0,2,0,15.9,239.2
10,AJ Green,CIN,WR,16,144,75,52.1,1078,8,77,7.5,14.4,0,0,0,0,2,2,14.2,226.8
11,Marvin Jones,DET,WR,16,107,61,57,1101,9,58,10.3,18,0,0,0,0,0,0,14.1,225.1
12,Golden Tate,DET,WR,16,120,92,76.7,1003,5,71,8.4,10.9,5,22,4.4,0,1,1,14,224.5
13,Doug Baldwin,SEA,WR,16,116,75,64.7,991,8,54,8.5,13.2,2,-8,-4,0,0,0,14,223.3
14,Davante Adams,GB,WR,14,117,74,63.2,885,10,55,7.6,12,0,0,0,0,0,0,15.9,222.5
15,Brandin Cooks,NE,WR,16,114,65,57,1082,7,64,9.5,16.6,9,40,4.4,0,0,0,13.8,221.2
16,Demaryius Thomas,DEN,WR,16,140,83,59.3,949,5,40,6.8,11.4,0,0,0,0,1,1,12.9,205.9
