Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Todd Gurley,LAR,RB,15,279,1305,4.7,13,87,64,788,6,5,2,25.6,383.3
2,Le'Veon Bell,PIT,RB,15,321,1291,4,9,106,85,655,2,3,2,22.8,341.6
3,Alvin Kamara,NO,RB,16,120,728,6.1,8,100,81,826,5,1,1,19.6,314.4
4,Kareem Hunt,KC,RB,16,272,1327,4.9,8,63,53,455,3,1,1,18.4,295.2
5,Melvin Gordon,LAC,RB,16,284,1105,3.9,8,83,58,476,4,1,0,18,288.1
6,Mark Ingram,NO,RB,16,230,1124,4.9,12,71,58,416,0,3,3,17.4,278
7,LeSean McCoy,BUF,RB,16,287,1138,4,6,77,59,448,2,3,1,16.5,263.6
8,Carlos Hyde,SF,RB,16,240,940,3.9,8,88,59,350,0,2,1,14.6,234
9,Leonard Fournette,JAX,RB,13,268,1040,3.9,9,48,36,302,1,2,0,17.7,230.2
10,Christian McCaffrey,CAR,RB,16,117,435,3.7,2,113,80,651,5,2,1,14.3,228.6
11,Duke Johnson,CLE,RB,16,82,348,4.2,4,93,74,693,3,4,2,13.5,216.1
12,Ezekiel Elliott,DAL,RB,10,242,983,4.1,7,38,26,269,2,1,1,20.3,203.2
13,Devonta Freeman,ATL,RB,14,196,865,4.4,7,47,36,317,1,4,1,14.3,200.2
14,Jordan Howard,CHI,RB,16,276,1122,4.1,9,32,23,125,0,1,1,12.5,199.7
15,Dion Lewis,NE,RB,16,180,896,5,6,36,32,214,3,0,0,12.3,197
16,Lamar Miller,HOU,RB,16,238,888,3.7,3,45,36,327,3,1,0,12.1,193.5
17,Jerick McKinnon,MIN,RB,16,150,570,3.8,3,68,51,421,2,3,2,11.1,178.1
18,CJ Anderson,DEN,RB,16,245,1007,4.1,3,40,28,224,1,1,1,10.9,175.1
19,Frank Gore,IND,RB,16,261,961,3.7,3,38,29,245,1,3,0,10.8,173.6
20,DeMarco Murray,TEN,RB,15,184,659,3.6,6,47,39,266,1,1,1,11.4,171.5
21,Alex Collins,BAL,RB,15,212,973,4.6,6,36,23,187,0,4,2,11.4,171
22,Tevin Coleman,ATL,RB,15,156,628,4,5,39,27,299,3,1,0,11.2,167.7
23,Javorius Allen,BAL,RB,16,153,591,3.9,4,60,46,250,2,0,0,10.4,166.1
24,Marshawn Lynch,OAK,RB,15,207,891,4.3,7,31,20,151,0,1,1,10.9,164.2
25,Latavius Murray,MIN,RB,16,216,842,3.9,8,17,15,103,0,1,0,9.8,157.5
26,Theo Riddick,DET,RB,16,84,286,3.4,3,71,53,444,2,1,1,9.6,154
